indice_tiempo,ind_burs_min_no_met_var_pct
2004-12-01,-0.2423202293387282
2005-01-01,0.054204323903883855
2005-02-01,0.1425193299986527
2005-03-01,0.13234812214260727
2005-04-01,-0.06846277370192078
2005-05-01,-0.09608058175996292
2005-06-01,-0.33261095456986445
2005-07-01,-0.08775096232447022
2005-08-01,0.10486532867366116
2005-09-01,-0.01310657284821548
2005-10-01,0.6563851002071566
2005-11-01,0.21309224399046434
2005-12-01,-0.34858606811278736
2006-01-01,0.3473692472775045
2006-02-01,-0.026001533997174087
2006-03-01,0.04013705973830728
2006-04-01,-0.056260508231341766
2006-05-01,-0.07867262274806741
2006-06-01,-0.11775399171556422
2006-07-01,0.12335530864948363
2006-08-01,-0.23287995838938336
2006-09-01,0.10501417788404988
2006-10-01,0.07936555874574402
2006-11-01,0.12146998796391117
2006-12-01,-0.015401709891747273
2007-01-01,-0.06230213268141649
2007-02-01,-0.16173433559270167
2007-03-01,0.06690360920683758
2007-04-01,-0.014230240392968607
2007-05-01,0.02380449818585073
2007-06-01,0.04512815211769983
2007-07-01,0.03423030278369721
2007-08-01,0.00989995347516448
2007-09-01,-0.16202363737295966
2007-10-01,0.14543982901593178
2007-11-01,0.019471802846842134
2007-12-01,0.01667563973202535
2008-01-01,0.03409777176244422
2008-02-01,-0.09299084600474627
2008-03-01,0.03853702914756396
2008-04-01,0.034871493530391984
2008-05-01,0.003046430783822718
2008-06-01,-0.016742856315213772
2008-07-01,0.007590694112233454
2008-08-01,0.08423533156174412
2008-09-01,-0.14195027887164924
2008-10-01,0.0705894731912664
2008-11-01,-0.19327529646170438
2008-12-01,-0.082918596861705
2009-01-01,0.07591135748442657
2009-02-01,0.11808225130733807
2009-03-01,0.05459907650165974
2009-04-01,0.22535661889037417
2009-05-01,-0.2142018593175723
2009-06-01,-0.10069034338483718
2009-07-01,-0.2878366837474068
2009-08-01,0.18908213829249543
2009-09-01,0.367316649573761
2009-10-01,-0.054264293548501485
2009-11-01,0.07152655599170177
2009-12-01,-0.012006541776788837
2010-01-01,-0.008967740050124462
2010-02-01,0.01751364378071174
2010-03-01,0.18445988440418137
2010-04-01,0.28713182684214145
2010-05-01,-0.020852026752280373
2010-06-01,-0.031306443519559135
2010-07-01,0.08149897082586821
2010-08-01,0.03880001345406936
2010-09-01,0.02573143530001354
2010-10-01,0.07955301210658283
2010-11-01,0.055063732331945614
2010-12-01,0.05805765091070936
2011-01-01,0.12262073895529735
2011-02-01,0.06145985285437683
2011-03-01,-0.003504354666265308
2011-04-01,0.014368681719153287
2011-05-01,-0.025618693255631486
2011-06-01,-0.02952260648774052
2011-07-01,0.05086478520874249
2011-08-01,-0.0981490182201078
2011-09-01,0.002486668131635561
2011-10-01,-0.049272070376709
2011-11-01,0.08085573278759117
2011-12-01,0.01998992259077159
2012-01-01,-0.08557666100513672
2012-02-01,0.06030597202648913
2012-03-01,-0.08804229306127265
2012-04-01,-0.06146017304832807
2012-05-01,0.0435248080207864
2012-06-01,0.03514377502703603
2012-07-01,0.08447570768661361
2012-08-01,0.0918251997497852
2012-09-01,0.15438504099623285
2012-10-01,-0.1001839730339491
2012-11-01,-0.3127127961985382
2012-12-01,0.12558251172215273
2013-01-01,0.03879119349803828
2013-02-01,0.383582541705936
2013-03-01,-0.009278017164509489
2013-04-01,0.00955015876111398
2013-05-01,-0.0746016119719568
2013-06-01,-0.15473071255808368
2013-07-01,-0.05147272235524791
2013-08-01,0.05135200155072983
2013-09-01,-0.06730015804542022
2013-10-01,0.3379013324264992
2013-11-01,0.12899729209942357
2013-12-01,-0.07040124211739007
2014-01-01,-0.33354925452071715
2014-02-01,0.24140419420078718
2014-03-01,0.2399572713689604
2014-04-01,-0.089952224011561
2014-05-01,-0.11907969267633656
2014-06-01,0.11319545459082692
2014-07-01,-0.117367247619235
2014-08-01,0.039799649065669795
2014-09-01,0.32002110127431527
2014-10-01,0.12824175006399496
2014-11-01,-0.016661573371521965
2014-12-01,-0.08843953998013598
2015-01-01,-0.0005373897579544762
2015-02-01,0.11741886155328118
2015-03-01,0.04243980222356658
2015-04-01,0.2663939452713653
2015-05-01,0.022606531485005243
2015-06-01,-0.004584888825110434
2015-07-01,-0.02347776805331525
2015-08-01,-0.019086976512326714
2015-09-01,-0.016259720925711596
2015-10-01,0.022850623537608472
2015-11-01,0.18328780811545742
2015-12-01,0.17855247474414693
2016-01-01,-0.006803290305825493
2016-02-01,-0.01339150928933619
2016-03-01,0.1433433345585149
2016-04-01,0.1571689452223488
2016-05-01,0.06731939455260849
2016-06-01,0.010262133734585399
2016-07-01,0.10660183205605511
2016-08-01,0.17581190486013876
2016-09-01,0.18280676481349478
2016-10-01,0.1810310705712297
2016-11-01,-0.10325106461427158
2016-12-01,-0.015112522370493875
2017-01-01,0.1674724178535656
2017-02-01,0.06121246758544174
2017-03-01,-0.02561693897125905
2017-04-01,0.03645885875752142
2017-05-01,0.07087617955570868
2017-06-01,0.11628540073267102
2017-07-01,-0.003521117143556407
2017-08-01,-7.112001720155359e-05
2017-09-01,0.0797473921859213
2017-10-01,0.13497431812186433
2017-11-01,-0.657546825284324
2017-12-01,0.2937389876992782
2018-01-01,0.3668526126443148
2018-02-01,0.40392382211895184
2018-03-01,-0.08463728605170551
2018-04-01,-0.21173136595604536
2018-05-01,-0.1527828092545297
2018-06-01,-0.3703099558646127
2018-07-01,-0.04269234624770024
2018-08-01,0.13095136098159732
2018-09-01,-0.20090057720959476
2018-10-01,0.12531524303603536
2018-11-01,-0.09300402186128942
2018-12-01,0.17126873085974648
