indice_tiempo,ind_burs_sspp_var_pct
2004-12-01,-0.008166413632596514
2005-01-01,0.045180042369069584
2005-02-01,0.06114840663212373
2005-03-01,0.051792530418909966
2005-04-01,-0.047394136642548546
2005-05-01,-0.041970703760901285
2005-06-01,0.08456650324238413
2005-07-01,-0.09217168407626197
2005-08-01,-0.01815204637498824
2005-09-01,0.09079166605063649
2005-10-01,0.11710862778754683
2005-11-01,0.017299680377831805
2005-12-01,0.007663920445845074
2006-01-01,0.06662331162981983
2006-02-01,-0.05314791268383112
2006-03-01,0.0025360053474721145
2006-04-01,-0.013297090552792157
2006-05-01,-0.09185179946152466
2006-06-01,-0.2694350357294112
2006-07-01,0.07361470685107574
2006-08-01,0.019334363699530233
2006-09-01,-0.10076144998342984
2006-10-01,-0.007971022504446701
2006-11-01,-0.0698563292707235
2006-12-01,0.16493980435263178
2007-01-01,0.30917456122625464
2007-02-01,0.000699648859610269
2007-03-01,0.013031165149260504
2007-04-01,0.04506009494838725
2007-05-01,0.09681339589831639
2007-06-01,0.008977095755036135
2007-07-01,0.06838491346262021
2007-08-01,-0.04396366178718614
2007-09-01,-0.02657579470555893
2007-10-01,0.06740831407208159
2007-11-01,0.035646889898713674
2007-12-01,-0.05031179539261399
2008-01-01,-0.07562200732378399
2008-02-01,-0.04165915094981565
2008-03-01,0.037335003961046054
2008-04-01,-0.03809402746599311
2008-05-01,-0.13155916407659962
2008-06-01,-0.10180601206715956
2008-07-01,-0.19932648945280818
2008-08-01,0.01652049290598412
2008-09-01,-0.09884544860276478
2008-10-01,-0.16410476820361353
2008-11-01,-0.3221562631117335
2008-12-01,0.04560109825204961
2009-01-01,0.08326012095972168
2009-02-01,0.014314797933281609
2009-03-01,-0.0509214012529563
2009-04-01,-0.02232545412015552
2009-05-01,0.09130424626388312
2009-06-01,0.11338656935694846
2009-07-01,0.08401020542373194
2009-08-01,0.10808228268350861
2009-09-01,0.10100409580073277
2009-10-01,0.1911388138842558
2009-11-01,-0.01011381137383549
2009-12-01,-0.06892229136002082
2010-01-01,0.05595011342155809
2010-02-01,-0.007642782939197512
2010-03-01,-0.008071559727583888
2010-04-01,0.022598200499488907
2010-05-01,-0.0262202293943129
2010-06-01,-0.04862562378820845
2010-07-01,-0.0041857268689835525
2010-08-01,0.0009943873093858357
2010-09-01,0.010107426567645295
2010-10-01,0.107493633169635
2010-11-01,0.21091340730111452
2010-12-01,0.20118351315107397
2011-01-01,0.021684399834065005
2011-02-01,0.0553483984885339
2011-03-01,-0.09215663314583689
2011-04-01,-0.03299893616414784
2011-05-01,0.03877383692560543
2011-06-01,-0.04250086568007272
2011-07-01,0.01749219480089037
2011-08-01,-0.07109100680319191
2011-09-01,-0.08908154206620023
2011-10-01,-0.04692035991006516
2011-11-01,0.0913283643289935
2011-12-01,-0.09605597852938297
2012-01-01,0.009694619753807254
2012-02-01,-0.02117296798480084
2012-03-01,-0.0846191557526551
2012-04-01,-0.14967378948461862
2012-05-01,-0.23404744674102784
2012-06-01,-0.07051927566706029
2012-07-01,-0.05942038434998376
2012-08-01,0.028193640765745265
2012-09-01,-0.004448135045270307
2012-10-01,-0.12796984547421086
2012-11-01,-0.04615699879243629
2012-12-01,0.029002927405806123
2013-01-01,0.1617899240099121
2013-02-01,0.18118375797254083
2013-03-01,-0.01121368396840905
2013-04-01,0.031459297430794564
2013-05-01,0.009462596384942845
2013-06-01,-0.07223829461844355
2013-07-01,-0.04723709145978017
2013-08-01,0.06294310118947943
2013-09-01,0.1588731863534525
2013-10-01,0.4944525412510683
2013-11-01,0.16672803081073506
2013-12-01,0.05283603318724661
2014-01-01,-0.08341961509307028
2014-02-01,0.05088008887326101
2014-03-01,0.03461394776325921
2014-04-01,0.0948251631094621
2014-05-01,0.2786254978791256
2014-06-01,0.24820987035083286
2014-07-01,0.16373252247938175
2014-08-01,0.0869016836536689
2014-09-01,0.07925252094280899
2014-10-01,0.10214438108538415
2014-11-01,0.020015160130325782
2014-12-01,-0.10180009490106345
2015-01-01,-0.12154519806680875
2015-02-01,0.12484118981317627
2015-03-01,0.2789422106116708
2015-04-01,0.21211707524665213
2015-05-01,-0.07939583030802799
2015-06-01,-0.09762816892435677
2015-07-01,0.04254604193000011
2015-08-01,0.08962027391604299
2015-09-01,0.03956981159876438
2015-10-01,0.013682498327310277
2015-11-01,0.32564127756409467
2015-12-01,0.07706842559244387
2016-01-01,-0.0778121156586351
2016-02-01,0.04551529136767596
2016-03-01,0.04386907281423258
2016-04-01,0.0023847903665674686
2016-05-01,-0.03219908417283601
2016-06-01,0.03094518387124867
2016-07-01,0.15047560559877926
2016-08-01,0.032772050026027344
2016-09-01,-0.003068084828172224
2016-10-01,0.14852292452875182
2016-11-01,0.1398359642783653
2016-12-01,0.06593079778917343
2017-01-01,0.1317896409209327
2017-02-01,0.18992062864010184
2017-03-01,0.12134026585341284
2017-04-01,0.1458259396194579
2017-05-01,0.041142555182074325
2017-06-01,0.058599035196088334
2017-07-01,0.06020485937998887
2017-08-01,-0.028466634558475423
2017-09-01,0.1464174955340658
2017-10-01,0.12919616525501065
2017-11-01,0.04607476289143664
2017-12-01,0.047994769252600156
2018-01-01,0.14953754788433837
2018-02-01,0.1319364984820679
2018-03-01,-0.06618592689621461
2018-04-01,-0.05936015325927224
2018-05-01,-0.09009154795157193
2018-06-01,0.02512187297957791
2018-07-01,-0.11381720023078545
2018-08-01,0.01850358924902884
2018-09-01,-0.000141223457694295
2018-10-01,0.09666042898056193
2018-11-01,-0.05543862380490372
2018-12-01,0.04424336315864119
