indice_tiempo,ind_burs_comer_var_pct
2004-12-01,-0.15603686422342733
2005-01-01,0.08761892639654856
2005-02-01,0.38094937784202254
2005-03-01,0.2264265881498706
2005-04-01,0.0039812235765841475
2005-05-01,0.10980593467370192
2005-06-01,0.2538469881160925
2005-07-01,0.0625960657816591
2005-08-01,-0.053943040430011524
2005-09-01,-0.017545938421212104
2005-10-01,0.014283933726894071
2005-11-01,0.026315408793878392
2005-12-01,-0.1014745211313145
2006-01-01,-0.04767475264319543
2006-02-01,0.05419384723068066
2006-03-01,-0.0708101681218748
2006-04-01,-0.10646879527314357
2006-05-01,-0.3251871086779877
2006-06-01,-0.25797238823517366
2006-07-01,-0.03161241865371989
2006-08-01,-0.16638147448936402
2006-09-01,0.07798640930741896
2006-10-01,0.06642133927306038
2006-11-01,0.04181019534918251
2006-12-01,0.6129743635379823
2007-01-01,0.16122400222656474
2007-02-01,0.0495899090437355
2007-03-01,-0.0141409847708589
2007-04-01,0.026357568601312442
2007-05-01,-0.1178515040030712
2007-06-01,-0.06614238677338014
2007-07-01,0.03583425475381774
2007-08-01,0.2559968605735228
2007-09-01,-0.14915355119788498
2007-10-01,0.15577344051287723
2007-11-01,0.26244002382981835
2007-12-01,-0.10612097553372091
2008-01-01,0.000816515086270897
2008-02-01,-0.06624503399074089
2008-03-01,0.07923795063852435
2008-04-01,-0.1321953907362986
2008-05-01,-0.12516579916349657
2008-06-01,-0.031582314129442124
2008-07-01,-0.06533918405730854
2008-08-01,-0.056066217617312786
2008-09-01,0.005762715054591361
2008-10-01,-0.17436234026123176
2008-11-01,-0.2201840423402246
2008-12-01,-0.0629599214218497
2009-01-01,0.133297662862083
2009-02-01,-0.039537005228920674
2009-03-01,-0.10471823330904395
2009-04-01,-0.012621687488842737
2009-05-01,0.08410426007145588
2009-06-01,0.5859756879169129
2009-07-01,0.22226301093652445
2009-08-01,-0.025430186489361906
2009-09-01,0.0027479940000798564
2009-10-01,0.05760948537124322
2009-11-01,-0.27445829353464835
2009-12-01,-0.2298687459114781
2010-01-01,0.11892192517027311
2010-02-01,0.054722714769806835
2010-03-01,-0.11430039490553956
2010-04-01,0.3684903209974708
2010-05-01,0.09015625080260103
2010-06-01,-0.0776943288008407
2010-07-01,-0.03385123248253308
2010-08-01,-0.0023116066306669847
2010-09-01,0.037798231147947
2010-10-01,0.08914630557468328
2010-11-01,0.22143432728955625
2010-12-01,0.08065001782281289
2011-01-01,0.019483337815800583
2011-02-01,0.2028187221272406
2011-03-01,0.07968820707153235
2011-04-01,0.012153183150769964
2011-05-01,-0.11116969061477222
2011-06-01,0.013115054369123191
2011-07-01,0.10010019927224922
2011-08-01,-0.10482473135552639
2011-09-01,0.03353364794417568
2011-10-01,-0.1389199706061729
2011-11-01,0.00941338225855759
2011-12-01,-0.08536735779564764
2012-01-01,0.02334619934605331
2012-02-01,0.08020788130112133
2012-03-01,0.2180162021331009
2012-04-01,0.04931886399955321
2012-05-01,-0.1541052672820078
2012-06-01,-0.0721839905870919
2012-07-01,0.04219068086023903
2012-08-01,-0.022305175122894982
2012-09-01,-0.03595482089690738
2012-10-01,-0.014220946427893733
2012-11-01,-0.14558571340083637
2012-12-01,-0.09453728194314592
2013-01-01,0.26159906476177786
2013-02-01,0.136300553263081
2013-03-01,0.002565718267718342
2013-04-01,0.015630031198126337
2013-05-01,0.006085514729196717
2013-06-01,-0.12527397694594877
2013-07-01,-0.13207446141562673
2013-08-01,-0.008144938580001981
2013-09-01,0.07323064720631711
2013-10-01,0.1433832129790822
2013-11-01,0.15966595140630835
2013-12-01,0.12251804872646765
2014-01-01,0.2526445062802507
2014-02-01,0.04511318811172815
2014-03-01,-0.0371819207161449
2014-04-01,-0.05246449048997537
2014-05-01,0.0014031881193554696
2014-06-01,0.11225353299541974
2014-07-01,0.007650767749654452
2014-08-01,0.006386948008104243
2014-09-01,0.4003823453869302
2014-10-01,0.1906746564536541
2014-11-01,0.013680666030055466
2014-12-01,-0.07870894759323555
2015-01-01,0.02697841745321794
2015-02-01,0.1499938509481391
2015-03-01,0.2878544497269291
2015-04-01,0.2840113219449465
2015-05-01,0.02580192534738912
2015-06-01,-0.09684557115583448
2015-07-01,0.012858214853848526
2015-08-01,0.07901753753462049
2015-09-01,-0.0787821543719266
2015-10-01,-0.02942796335466258
2015-11-01,0.14368186849986841
2015-12-01,0.05053922334968597
2016-01-01,-0.04227514551086564
2016-02-01,-0.05450130206045245
2016-03-01,0.019012673528036927
2016-04-01,-0.07080532594870659
2016-05-01,0.002252452458064269
2016-06-01,-0.0756677677439127
2016-07-01,0.05803048628049878
2016-08-01,0.06677368651923343
2016-09-01,-0.006540256352008278
2016-10-01,0.06803287165254535
2016-11-01,-0.005127784858150242
2016-12-01,-0.06645229422344068
2017-01-01,0.019993491695689203
2017-02-01,0.008434378188359792
2017-03-01,0.034811919873280806
2017-04-01,0.003456919348751475
2017-05-01,0.07886123869561512
2017-06-01,-0.018935168811336944
2017-07-01,0.006347340564590631
2017-08-01,0.005388169652258856
2017-09-01,-0.002674536417381135
2017-10-01,0.2176906774779923
2017-11-01,0.17904611257233194
2017-12-01,-0.07343112936857643
2018-01-01,0.06690954634764834
2018-02-01,0.048534793819529076
2018-03-01,-0.04135356478671637
2018-04-01,-0.12516671738018004
2018-05-01,-0.015640976636290604
2018-06-01,-0.012021681281242147
2018-07-01,-0.05803965159558666
2018-08-01,0.054875318112455496
2018-09-01,0.01952081076965939
2018-10-01,-0.0008365030254663397
2018-11-01,-0.1396037417374003
