indice_tiempo,ind_burs_energ_var_pct
2004-12-01,0.07990038789213982
2005-01-01,0.1366330004154559
2005-02-01,0.29034845780455676
2005-03-01,-0.09324910781613871
2005-04-01,0.021836149971929286
2005-05-01,-0.07610540705747226
2005-06-01,-0.18612180751268304
2005-07-01,-0.14363826561970594
2005-08-01,0.00498146914187414
2005-09-01,0.07018276845848725
2005-10-01,0.011917387885341135
2005-11-01,0.05652509078047019
2005-12-01,0.21667454229453864
2006-01-01,-0.17722901373940725
2006-02-01,-0.003022474057434943
2006-03-01,-0.19113245591641104
2006-04-01,0.08539020623514171
2006-05-01,2.0704423869719255
2006-06-01,-0.17827064732059394
2006-07-01,0.11849522708348825
2006-08-01,0.0739688085209238
2006-09-01,0.021399311088638795
2006-10-01,-0.08126918841916697
2006-11-01,-0.006644404326879738
2006-12-01,0.07632510858724251
2007-01-01,0.054702946781675754
2007-02-01,-0.1226824750367399
2007-03-01,-0.01666726914860306
2007-04-01,0.2005952228081731
2007-05-01,-0.05941935890372785
2007-06-01,0.07716874266277629
2007-07-01,0.08320049028828946
2007-08-01,0.1374191683509829
2007-09-01,0.037059219057619774
2007-10-01,0.2753331876614453
2007-11-01,0.1814239423518791
2007-12-01,0.09792439460978386
2008-01-01,0.0516544247120565
2008-02-01,0.04314510888577949
2008-03-01,0.023425972515803473
2008-04-01,-0.01259712262681556
2008-05-01,0.12635491200510507
2008-06-01,0.07890105816999649
2008-07-01,-0.07898365923109163
2008-08-01,-0.1813152123988342
2008-09-01,-0.11204592779748135
2008-10-01,-0.2073410308074447
2008-11-01,-0.2131124484602952
2008-12-01,-0.1812410218057814
2009-01-01,0.17285624015117818
2009-02-01,0.1738767930292242
2009-03-01,0.0831499109527114
2009-04-01,0.1370007122982564
2009-05-01,0.140748111473322
2009-06-01,0.21343024929652477
2009-07-01,-0.06031660478517298
2009-08-01,-0.052621972721914156
2009-09-01,0.11562676783519144
2009-10-01,-0.4096389725949193
2009-11-01,0.39653270057580503
2009-12-01,0.07355395931569353
2010-01-01,0.006542841651107301
2010-02-01,0.01196267156798747
2010-03-01,-0.022509662198469838
2010-04-01,-0.19547282806619393
2010-05-01,0.023570969085232596
2010-06-01,-0.10347620386498968
2010-07-01,0.021634526311635538
2010-08-01,0.0011738038921216276
2010-09-01,0.06352452233873862
2010-10-01,0.15377320039914366
2010-11-01,-0.11766309741129688
2010-12-01,-0.29855308264428926
2011-01-01,0.22952710296307988
2011-02-01,0.04588043537660935
2011-03-01,0.18724567912352885
2011-04-01,-0.2158564041643245
2011-05-01,-0.05977836541727022
2011-06-01,-0.22941562914157376
2011-07-01,0.004945310421998306
2011-08-01,0.15846407003827356
2011-09-01,-0.03484685220639272
2011-10-01,-0.11114881255938647
2011-11-01,-0.016000543543025825
2011-12-01,0.015538753659683602
2012-01-01,-0.04470839608537114
2012-02-01,-0.023361171263062697
2012-03-01,0.021449799380899748
2012-04-01,-0.18572174473591851
2012-05-01,-0.27535975377889177
2012-06-01,0.24216114032608504
2012-07-01,-0.03380500973448519
2012-08-01,0.44022463817409263
2012-09-01,0.046636246609200294
2012-10-01,-0.25331853634182455
2012-11-01,0.42522103630753594
2012-12-01,-0.33110722731257103
2013-01-01,-0.038261076685945694
2013-02-01,0.19530854946345566
2013-03-01,0.07803483903213859
2013-04-01,0.08980844036422542
2013-05-01,0.10347687102847147
2013-06-01,-0.2317094186309523
2013-07-01,0.008580192135822395
2013-08-01,-0.0012249749328211434
2013-09-01,0.11567782878877053
2013-10-01,0.019646678276316498
2013-11-01,0.11710140721224427
2013-12-01,0.1246593238579019
2014-01-01,0.06534699350851492
2014-02-01,-0.005588651536660771
2014-03-01,0.026888361831673757
2014-04-01,0.025554503499312764
2014-05-01,-0.036769990604358815
2014-06-01,0.07327962192863557
2014-07-01,0.10384960698351797
2014-08-01,0.10179618179228944
2014-09-01,0.34421310563142216
2014-10-01,0.055362420264850165
2014-11-01,-0.12726293141254263
2014-12-01,-0.22599426824598712
2015-01-01,-0.18159838718030685
2015-02-01,0.002620588754155273
2015-03-01,-0.04491253828155839
2015-04-01,0.09812058776573962
2015-05-01,0.1920779796885268
2015-06-01,-0.04985418649077289
2015-07-01,0.02529661789390536
2015-08-01,-0.11922292719267502
2015-09-01,-0.12958592679212877
2015-10-01,-0.11721370736905468
2015-11-01,0.09539662503030799
2015-12-01,-0.015700653890688532
2016-01-01,-0.17970918467273
2016-02-01,-0.059012082328471105
2016-03-01,0.2538794990155451
2016-04-01,0.15772779378471724
2016-05-01,0.14060042465197897
2016-06-01,-0.06706721056758658
2016-07-01,0.14922663168991002
2016-08-01,0.1215833161151485
2016-09-01,0.0512669030366768
2016-10-01,0.026950312132706822
2016-11-01,0.030124559837526155
2016-12-01,-0.009832325918512907
2017-01-01,-0.0720716103475052
2017-02-01,0.10041665227830454
2017-03-01,0.07768595285263946
2017-04-01,-0.044844522896334005
2017-05-01,0.050014661876797595
2017-06-01,0.05309210857492319
2017-07-01,0.020478546463537306
2017-08-01,-0.06006393071903704
2017-09-01,0.05969197844376195
2017-10-01,0.06515054278577748
2017-11-01,0.042267080589435846
2017-12-01,-0.0778873638667601
2018-01-01,0.18915869679748032
2018-02-01,0.1834313222585886
2018-03-01,-0.04949883709917191
2018-04-01,0.008742695573539239
2018-05-01,0.07094690798100922
2018-06-01,0.07038629716595746
2018-07-01,-0.25357542285306867
2018-08-01,0.056950037341432
2018-09-01,0.24355052745996209
2018-10-01,0.4320489212922287
2018-11-01,0.08839849779786113
2018-12-01,-0.15939622388528096
