indice_tiempo,ind_burs_telecom_var_pct
2004-12-01,0.037415981341473836
2005-01-01,-0.010868718931273724
2005-02-01,0.07676692246198336
2005-03-01,0.0983327971227026
2005-04-01,-0.04735096768659641
2005-05-01,-0.025232440764080932
2005-06-01,0.003109047303170298
2005-07-01,0.04554997117351345
2005-08-01,0.005917819981513084
2005-09-01,-0.0387267890822065
2005-10-01,0.023776157653212948
2005-11-01,0.07407979797117692
2005-12-01,0.003153952307051844
2006-01-01,-0.01242484315017689
2006-02-01,-0.021717922742384266
2006-03-01,0.006392396344742979
2006-04-01,0.04424769633589354
2006-05-01,-0.019541161999016454
2006-06-01,-0.07335834745906478
2006-07-01,0.013729014934079409
2006-08-01,0.018082437388813988
2006-09-01,0.1134500791193429
2006-10-01,0.0631998348843279
2006-11-01,0.062027792943078586
2006-12-01,0.15545276714031386
2007-01-01,0.13218450038003637
2007-02-01,0.08061809139201803
2007-03-01,-0.00565722341017727
2007-04-01,0.006872665436843395
2007-05-01,0.07805983416126616
2007-06-01,0.09462324349198958
2007-07-01,-0.050254726645223236
2007-08-01,-0.081487647086807
2007-09-01,0.10305725673750432
2007-10-01,-0.016979571028396756
2007-11-01,-0.06942502761733282
2007-12-01,0.03327684128811503
2008-01-01,-0.015522651997535553
2008-02-01,-0.23987950523291013
2008-03-01,0.06103371755754461
2008-04-01,-0.14319836019301024
2008-05-01,0.0731677287066883
2008-06-01,0.05581403478402969
2008-07-01,-0.23838206859762368
2008-08-01,-0.12345176332337826
2008-09-01,-0.10563046890525263
2008-10-01,0.08546968492623219
2008-11-01,-0.33562591291800636
2008-12-01,-0.0876753622232741
2009-01-01,0.5351971820273382
2009-02-01,0.2570276889095777
2009-03-01,-0.3484665510456173
2009-04-01,-0.04139954602403306
2009-05-01,0.10376401281968617
2009-06-01,0.18599599706790104
2009-07-01,-0.0228753633753338
2009-08-01,0.1610121508348794
2009-09-01,0.12412680841605428
2009-10-01,0.21875038411187542
2009-11-01,0.1514655213437901
2009-12-01,-0.10297921087994821
2010-01-01,0.09700581480372694
2010-02-01,0.019576969251971166
2010-03-01,-0.006149847208146153
2010-04-01,0.07403347413647099
2010-05-01,0.019799590969890035
2010-06-01,-0.0480906790767488
2010-07-01,0.029366138921300244
2010-08-01,0.0762036600518936
2010-09-01,0.06384979622728171
2010-10-01,0.06386553995715905
2010-11-01,0.03960419140230287
2010-12-01,0.10524286421405682
2011-01-01,0.07958146622269324
2011-02-01,-0.012155375307394745
2011-03-01,-0.05174691839986556
2011-04-01,0.030742003133053863
2011-05-01,-0.007200092480943887
2011-06-01,0.07924026412492058
2011-07-01,-0.02454732178308605
2011-08-01,-0.05984386065054059
2011-09-01,-0.026267482513210982
2011-10-01,-0.05088150149691206
2011-11-01,0.051258096807487386
2011-12-01,-0.07819681765431863
2012-01-01,-0.03302247653294099
2012-02-01,0.15997812109099896
2012-03-01,-0.05469041611249248
2012-04-01,-0.014481829621656561
2012-05-01,-0.12038721043108358
2012-06-01,0.0369369966309685
2012-07-01,0.09269048789634127
2012-08-01,-0.07824663272638122
2012-09-01,-0.1270748895757151
2012-10-01,-0.0604314962832766
2012-11-01,0.108771320483116
2012-12-01,-0.08063564255596611
2013-01-01,0.20767043258731244
2013-02-01,0.2818927784540399
2013-03-01,0.08144204898979135
2013-04-01,0.0262168344560485
2013-05-01,0.20796096620624227
2013-06-01,-0.11188233695292249
2013-07-01,-0.06207683860648694
2013-08-01,0.1810526545371669
2013-09-01,0.15425504799643663
2013-10-01,0.009604387169438233
2013-11-01,0.04494259170655579
2013-12-01,-0.07567961265163281
2014-01-01,-0.03728208715091641
2014-02-01,0.14559255222856393
2014-03-01,-0.004157267505014106
2014-04-01,0.023965665448224094
2014-05-01,0.08863996987682432
2014-06-01,0.12907432817401654
2014-07-01,0.055552638405940824
2014-08-01,-0.03585555770912585
2014-09-01,0.10217617557591874
2014-10-01,0.130035484237911
2014-11-01,-0.012317833862102057
2014-12-01,-0.09502234956378774
2015-01-01,-0.1182927607711094
2015-02-01,0.09005959436769384
2015-03-01,0.10766286812552228
2015-04-01,-0.02599255689928137
2015-05-01,-0.030127325249503345
2015-06-01,-0.05959741629351811
2015-07-01,0.01686708605822007
2015-08-01,-0.05250108925615693
2015-09-01,-0.034441101874345126
2015-10-01,-0.05065332786026755
2015-11-01,0.16016865771642075
2015-12-01,0.03388669494871421
2016-01-01,-0.09722874572707607
2016-02-01,0.0025457675943660885
2016-03-01,0.19881040188927734
2016-04-01,-0.0456231697428533
2016-05-01,-0.012997713829574375
2016-06-01,-0.011773625696022694
2016-07-01,0.047340700445399175
2016-08-01,0.03497038541150266
2016-09-01,-0.0007036318267658048
2016-10-01,0.06368026184400888
2016-11-01,-0.016124072907039988
2016-12-01,0.00611653651607047
2017-01-01,0.04760654617281612
2017-02-01,0.09390946707687742
2017-03-01,0.04397134156053739
2017-04-01,0.03569840909771971
2017-05-01,0.04534480228330762
2017-06-01,0.07946294082368532
2017-07-01,0.10670201428625381
2017-08-01,0.05953951926686596
2017-09-01,-0.2217283324823922
2017-10-01,0.018300782701115237
2017-11-01,-0.1451352771579315
2017-12-01,0.06992926879576666
2018-01-01,0.10255312535589578
2018-02-01,0.06495802694601882
2018-03-01,-0.1709108919959894
2018-04-01,0.08940494495793705
2018-05-01,-0.06012782746270873
2018-06-01,-0.07931679296220695
2018-07-01,0.010367730234343675
2018-08-01,-0.09000029510867325
2018-09-01,0.02842331639705753
2018-10-01,0.31791288241345517
2018-11-01,-0.1831283526771561
2018-12-01,-0.19554608167740195
