indice_tiempo,ind_burs_fciero_var_pct
2004-12-01,-0.04743504563033851
2005-01-01,0.10699287076680708
2005-02-01,0.025283674467400985
2005-03-01,0.029632342067675177
2005-04-01,-0.11600644506190538
2005-05-01,0.02716143381841074
2005-06-01,0.056558705307241386
2005-07-01,-0.05051416542179443
2005-08-01,0.06467663629615616
2005-09-01,0.009892397007165599
2005-10-01,0.027690432938834553
2005-11-01,0.010615650048589664
2005-12-01,-0.0330083622476709
2006-01-01,-0.037032005802636436
2006-02-01,0.028010146653913326
2006-03-01,0.06017191291641488
2006-04-01,0.11789662926435218
2006-05-01,-0.05684580489815505
2006-06-01,-0.08288240894196341
2006-07-01,-0.06051764950485161
2006-08-01,0.08941677695467076
2006-09-01,-0.039735509188655205
2006-10-01,0.07304953562984884
2006-11-01,0.10635370138254796
2006-12-01,0.143631364589897
2007-01-01,0.03505544401084504
2007-02-01,0.1939846928789397
2007-03-01,0.046579670923798666
2007-04-01,0.042687115510751994
2007-05-01,-0.007570810286556706
2007-06-01,-0.013105038139205716
2007-07-01,-0.012989436261123921
2007-08-01,0.14488338690049862
2007-09-01,-0.27873082860271614
2007-10-01,0.1725681981044651
2007-11-01,0.05109235781290211
2007-12-01,-0.1730080562111862
2008-01-01,-0.07295369671785235
2008-02-01,-0.0866541908622197
2008-03-01,0.10574237557135979
2008-04-01,0.020713280158947134
2008-05-01,-0.07970619648842103
2008-06-01,-0.10424239458173556
2008-07-01,-0.082989184105419
2008-08-01,-0.06623699169001729
2008-09-01,-0.044221854205168554
2008-10-01,-0.16417369351520938
2008-11-01,-0.3408126186982977
2008-12-01,-0.07196998182166048
2009-01-01,0.09429906994312454
2009-02-01,0.05181231414526688
2009-03-01,-0.0506519132216694
2009-04-01,-0.10214082134576041
2009-05-01,0.24632034819379434
2009-06-01,0.26857036782380117
2009-07-01,0.05452560180430166
2009-08-01,0.22482860107672065
2009-09-01,0.16352267433109025
2009-10-01,0.10111411455216301
2009-11-01,0.16542137762099363
2009-12-01,0.007165183046956569
2010-01-01,-0.0024384093204228297
2010-02-01,-0.01410109512952551
2010-03-01,-0.015555256257956618
2010-04-01,0.10761389367932583
2010-05-01,-0.01334774012592399
2010-06-01,-0.12393530475645664
2010-07-01,0.16965613923918865
2010-08-01,-0.0013948699279636712
2010-09-01,0.06870646555343662
2010-10-01,0.1831818538463652
2010-11-01,0.3754258893626501
2010-12-01,0.05832542041471034
2011-01-01,0.04386501330554027
2011-02-01,0.0066082971066177
2011-03-01,-0.08820446547723992
2011-04-01,-0.07399291855730405
2011-05-01,-0.018894634707013358
2011-06-01,-0.07281747754414292
2011-07-01,0.1122609954916447
2011-08-01,-0.03311283717402003
2011-09-01,-0.13209944745199897
2011-10-01,-0.16657962502099233
2011-11-01,-0.022035424839065954
2011-12-01,-0.1631348567712163
2012-01-01,-0.020484160672156637
2012-02-01,0.10661075800854403
2012-03-01,-0.0291936543589153
2012-04-01,0.005495098063971193
2012-05-01,-0.01487626155011501
2012-06-01,-0.10228053515994784
2012-07-01,-0.00591243628152105
2012-08-01,0.04429316760463897
2012-09-01,0.03579908423460565
2012-10-01,0.05328103314530752
2012-11-01,-0.031054163131049473
2012-12-01,0.09473732772725962
2013-01-01,0.20817360439059107
2013-02-01,0.05272920027900052
2013-03-01,0.01959266354972189
2013-04-01,0.11266585968562626
2013-05-01,-0.0021751420715280245
2013-06-01,-0.13599084620747115
2013-07-01,-0.09284267921248435
2013-08-01,0.15195121109195853
2013-09-01,0.30242915259960856
2013-10-01,0.3169596929869618
2013-11-01,0.0906813226828489
2013-12-01,0.014051806022342683
2014-01-01,-0.043652872188369884
2014-02-01,0.12183160224886502
2014-03-01,-0.004205839135305256
2014-04-01,0.1379653377163499
2014-05-01,0.09968575463134455
2014-06-01,0.0905915266585029
2014-07-01,0.08789216293286595
2014-08-01,0.027862747695743595
2014-09-01,0.11525899377770643
2014-10-01,0.08932764728084885
2014-11-01,0.003454878770007719
2014-12-01,-0.011214009343802456
2015-01-01,0.009906666677341969
2015-02-01,0.11918013124249605
2015-03-01,0.23838128831685657
2015-04-01,0.09744339017375281
2015-05-01,-0.08005453114664751
2015-06-01,-0.06679353407259936
2015-07-01,0.010203077559816531
2015-08-01,0.03240061241754577
2015-09-01,0.02429658521460487
2015-10-01,-0.026259055579257007
2015-11-01,0.3146754059957211
2015-12-01,0.06677061576792642
2016-01-01,-0.05665488907146454
2016-02-01,0.06377418153249015
2016-03-01,0.14034828684093226
2016-04-01,-0.054921261415805556
2016-05-01,-0.024219222860726974
2016-06-01,-0.01767502584790781
2016-07-01,0.1380825802207457
2016-08-01,0.0034655385640751657
2016-09-01,0.012051163088773187
2016-10-01,0.021571724461755926
2016-11-01,-0.02871608912592316
2016-12-01,-0.052879814744238085
2017-01-01,0.034106418196977906
2017-02-01,0.11084331025193861
2017-03-01,-0.005156104570661402
2017-04-01,0.09846851662224543
2017-05-01,0.015084406572946962
2017-06-01,0.06185187775655554
2017-07-01,0.09668556861714861
2017-08-01,-0.050029331090446716
2017-09-01,0.00780428080828699
2017-10-01,0.1758484477047313
2017-11-01,0.12421377626611374
2017-12-01,0.05953960027697902
2018-01-01,0.17103780400061064
2018-02-01,0.08056989213932542
2018-03-01,-0.023822876470639964
2018-04-01,0.028790943041668404
2018-05-01,-0.08190528022686905
2018-06-01,-0.028495558186955483
2018-07-01,-0.07181131282047903
2018-08-01,-0.07604179065954453
2018-09-01,-0.10774278407208715
2018-10-01,0.10526798012851302
2018-11-01,-0.037810075002662646
2018-12-01,0.10159675998437923
