indice_tiempo,ind_burs_metalmec_var_pct
2004-12-01,-0.23933793543297832
2005-01-01,-0.30956370118837695
2005-02-01,0.35093967993749176
2005-03-01,0.3357493125187987
2005-04-01,-0.30009074694639726
2005-05-01,-0.18147072919978469
2005-06-01,0.8307396019024411
2005-07-01,-0.2151498062552033
2005-08-01,-0.024078186558319614
2005-09-01,0.12464530543010821
2005-10-01,0.8762828754027787
2005-11-01,-0.07098128240323032
2005-12-01,-0.4424654794618271
2006-01-01,0.09048077058500215
2006-02-01,-0.06666579858201171
2006-03-01,-0.211377812574848
2006-04-01,0.3575115814146046
2006-05-01,-0.18838901598923585
2006-06-01,-0.2691274936423703
2006-07-01,0.028878374056068745
2006-08-01,0.112107770391916
2006-09-01,0.034094654013909764
2006-10-01,-0.0006968015527681892
2006-11-01,0.030253262837154793
2006-12-01,0.03661532604815876
2007-01-01,-0.032705534753439736
2007-02-01,0.007163852798416359
2007-03-01,-0.1794956322287804
2007-04-01,-0.1387800923953637
2007-05-01,0.10709836993115274
2007-06-01,0.1747597925288693
2007-07-01,0.09565335641292405
2007-08-01,0.13837191011990035
2007-09-01,0.04235347550647317
2007-10-01,-0.05902497431699194
2007-11-01,0.11834474453909283
2007-12-01,-0.018676330151671694
2008-01-01,0.05094933638482435
2008-02-01,-0.08413594076252762
2008-03-01,0.02507314830760965
2008-04-01,-0.030912536797204626
2008-05-01,-0.023773640756515224
2008-06-01,0.1344727779782655
2008-07-01,-0.01881179521227805
2008-08-01,0.008131943997192304
2008-09-01,-0.12455442598303912
2008-10-01,-0.2603366752165731
2008-11-01,-0.38755615917986697
2008-12-01,-0.2779552199179154
2009-01-01,0.22411760489592414
2009-02-01,0.2976720212220283
2009-03-01,-0.07311326246680616
2009-04-01,-0.2870884061152156
2009-05-01,-0.07266432080792762
2009-06-01,0.25906518903768694
2009-07-01,0.37189151193217906
2009-08-01,0.13096829696423495
2009-09-01,0.026934684822435218
2009-10-01,0.12256809060275509
2009-11-01,0.13916348826317093
