indice_tiempo,ind_burs_alim_beb_var_pct
2004-12-01,0.022051448976182497
2005-01-01,0.09987108930469746
2005-02-01,0.08759050077294361
2005-03-01,-0.03449487520487693
2005-04-01,-0.1512767340077713
2005-05-01,0.048009375947999366
2005-06-01,0.05902126012104936
2005-07-01,-0.06586656752996056
2005-08-01,0.09329705089044538
2005-09-01,0.023726927704579293
2005-10-01,0.12271084344893568
2005-11-01,0.04994966376706911
2005-12-01,-0.11636942349979207
2006-01-01,0.07325917657678382
2006-02-01,0.04804731708690779
2006-03-01,-0.11384590917968751
2006-04-01,-0.03477388611408294
2006-05-01,-0.035821868042265725
2006-06-01,-0.022949406553034124
2006-07-01,-0.2595134056653299
2006-08-01,0.16454471687399264
2006-09-01,0.05080383092542684
2006-10-01,-0.13272178854499583
2006-11-01,0.08076926469593149
2006-12-01,0.03230783724677533
2007-01-01,0.0398186360441406
2007-02-01,0.5755066776852527
2007-03-01,-0.2636595245336145
2007-04-01,-0.1283046242247452
2007-05-01,0.06958749807752729
2007-06-01,0.25474607469119603
2007-07-01,0.25158000153650306
2007-08-01,0.14986766854918865
2007-09-01,0.3265887543724286
2007-10-01,0.27036703490745717
2007-11-01,0.011014515548237291
2007-12-01,0.07056456711015491
2008-01-01,-0.10950725862969957
2008-02-01,0.08101446368113874
2008-03-01,0.2981611932925645
2008-04-01,-0.1510653367492255
2008-05-01,-0.05134306484061357
2008-06-01,0.07042467935840069
2008-07-01,0.07970836797373937
2008-08-01,0.1586208759968435
2008-09-01,-0.36977911834695876
2008-10-01,-0.2525296044912745
2008-11-01,0.0461973925422956
2008-12-01,0.03100275171223399
2009-01-01,0.2238385796578537
2009-02-01,0.01160856154547063
2009-03-01,-0.06876640582764115
2009-04-01,-0.16010961374514976
2009-05-01,0.21026746496372728
2009-06-01,0.3921387425975329
2009-07-01,-0.048473697360558954
2009-08-01,0.004295196519520372
2009-09-01,-0.1430589148082536
2009-10-01,0.24469408147043192
2009-11-01,-0.025981094043495467
2009-12-01,0.010784677612003746
2010-01-01,0.21116891106553748
2010-02-01,0.005115170424291993
2010-03-01,-0.16430696257794175
2010-04-01,0.015836889329592596
2010-05-01,-0.05808279726585397
2010-06-01,0.030664742965671454
2010-07-01,0.017983425662907226
2010-08-01,0.07098383522488061
2010-09-01,0.26562750522163037
2010-10-01,0.24079173609335647
2010-11-01,-0.09751396836408233
2010-12-01,0.045431709862280734
2011-01-01,0.34527037832274377
2011-02-01,0.1480830291673414
2011-03-01,-0.08844941924689931
2011-04-01,-0.10729940074745681
2011-05-01,0.0008456101773592906
2011-06-01,-0.1267893355607208
2011-07-01,0.07902475276822662
2011-08-01,-0.0062719359918484985
2011-09-01,-0.038886131019783776
2011-10-01,-0.051038349784155446
2011-11-01,0.022492024872426297
2011-12-01,-0.04619852842115979
2012-01-01,0.13630150467520408
2012-02-01,-0.1769198130768994
2012-03-01,-0.0994376269192091
2012-04-01,0.0027223541047030064
2012-05-01,-0.1682153043218233
2012-06-01,0.09131504194381868
2012-07-01,0.04470881863544807
2012-08-01,0.09393086791905247
2012-09-01,-0.08039783622834262
2012-10-01,-0.029057075946411492
2012-11-01,-0.05232606906535686
2012-12-01,0.018221459961855535
2013-01-01,0.14608247561700183
2013-02-01,0.11894561284776706
2013-03-01,-0.07917050026258043
2013-04-01,-0.02751351323986262
2013-05-01,0.0295239403260652
2013-06-01,-0.08383938625125142
2013-07-01,-0.0753174566595517
2013-08-01,0.07695505988033147
2013-09-01,0.09328724152723211
2013-10-01,0.09573897769823514
2013-11-01,0.04658302912494894
2013-12-01,-0.02299854526686651
2014-01-01,0.0032159491103853632
2014-02-01,0.07178334323833413
2014-03-01,-0.07362517142903813
2014-04-01,0.017517188728005895
2014-05-01,-0.0024586808752614653
2014-06-01,0.052009229329807116
2014-07-01,-0.01584765208067862
2014-08-01,0.015912331152541093
2014-09-01,0.22313610895799574
2014-10-01,0.196864363695181
2014-11-01,-0.08800578408128501
2014-12-01,-0.10544563368035953
2015-01-01,-0.03281171775730218
2015-02-01,0.08434482705677326
2015-03-01,0.05741164664604237
2015-04-01,0.07886330258800012
2015-05-01,-0.10141008419370157
2015-06-01,-0.04565955049175041
2015-07-01,0.0007028266759316892
2015-08-01,-0.009918406960847226
2015-09-01,-0.07725102754968416
2015-10-01,0.008753097680348931
2015-11-01,0.44660854241028836
2015-12-01,0.5317313333162343
2016-01-01,-0.05022190158835593
2016-02-01,-0.04707424358778389
2016-03-01,0.08438277671136651
2016-04-01,-0.018144799329667727
2016-05-01,0.04494680652022409
2016-06-01,-0.025329882627989853
2016-07-01,0.1010546491576898
2016-08-01,0.14461748618263437
2016-09-01,-0.02731846910020308
2016-10-01,0.05495604706582813
2016-11-01,0.030061539257043357
2016-12-01,-0.1778900279970318
2017-01-01,-0.12340166910152173
2017-02-01,0.13111007844347555
2017-03-01,0.039624628323445155
2017-04-01,0.03102245839027651
2017-05-01,-0.028850157491271844
2017-06-01,-0.025415171134176906
2017-07-01,-0.018151206913582407
2017-08-01,-0.10185310730400321
2017-09-01,0.09533741656345063
2017-10-01,0.018170432560991046
2017-11-01,0.06590308769933162
2017-12-01,0.015914043798500588
2018-01-01,-0.0069082636041777334
2018-02-01,0.03245285603622183
2018-03-01,-0.07870028490885583
2018-04-01,-0.04511070943982254
2018-05-01,-0.10731315325798485
2018-06-01,0.01116226120104602
2018-07-01,-0.07312410026777194
2018-08-01,0.17235149936163596
2018-09-01,-0.11377583125817459
2018-10-01,-0.13305347075908003
2018-11-01,-0.17733545862719724
