indice_tiempo,ind_burs_agrop_var_pct
2004-12-01,-0.22703915894470916
2005-01-01,-0.16581258304763935
2005-02-01,0.30051687754851875
2005-03-01,0.1656070080977865
2005-04-01,0.16956181078263688
2005-05-01,0.040872797658022764
2005-06-01,-0.0886860105730426
2005-07-01,-0.10043224828629338
2005-08-01,0.05161042584667608
2005-09-01,0.17844222589329162
2005-10-01,0.10147151035612678
2005-11-01,-0.11215119249721972
2005-12-01,-0.1657038762347155
2006-01-01,0.012417469263487968
2006-02-01,0.3462795236757641
2006-03-01,0.00443375107096089
2006-04-01,0.14017731563287672
2006-05-01,0.11570586535294525
2006-06-01,-0.17771411040861063
2006-07-01,0.0238930155172008
2006-08-01,-0.10140009824038887
2006-09-01,-0.26712512940903743
2006-10-01,0.30996317291105413
2006-11-01,0.1504782850108657
2006-12-01,0.09300242694901084
2007-01-01,0.2043859486815549
2007-02-01,-0.05816121335110214
2007-03-01,0.10172913935261207
2007-04-01,0.24932199635805086
2007-05-01,0.13089237264372455
2007-06-01,-0.10018323878393987
2007-07-01,-0.0906080957540567
2007-08-01,-0.1139887778484262
2007-09-01,0.060580838590788444
2007-10-01,-0.016908613484694968
2007-11-01,-0.20493229537366064
2007-12-01,0.35473126489155615
2008-01-01,-0.16305299350793967
2008-02-01,-0.3878433884481519
2008-03-01,0.7092979413646743
2008-04-01,-0.0745883348237667
2008-05-01,-0.0753141134026939
2008-06-01,0.08991241356146151
2008-07-01,-0.019463805766855358
2008-08-01,-0.17592620243414925
2008-09-01,-0.02741425431582667
2008-10-01,0.026721271723333162
2008-11-01,-0.3590532663464191
2008-12-01,0.06664989911808217
2009-01-01,0.17977614185433
2009-02-01,-0.22347142049148294
2009-03-01,-0.1725931095704214
2009-04-01,0.09347286679358402
2009-05-01,0.3666756296723972
2009-06-01,0.11596178596440132
2009-07-01,0.0607958689682353
2009-08-01,0.009691668816252497
2009-09-01,0.32020383749991654
2009-10-01,0.05015773419473302
2009-11-01,-0.18091117790377076
2009-12-01,-0.0761108984446699
2010-01-01,0.3429385437836028
2010-02-01,0.03949747083276045
2010-03-01,-0.01947137679257316
2010-04-01,-0.07368661152389844
2010-05-01,-0.022971894288167927
2010-06-01,-0.023415828982326414
2010-07-01,0.05658358278511644
2010-08-01,0.08522129232374143
2010-09-01,0.007474228480228717
2010-10-01,0.28799509677573765
2010-11-01,0.09508638544900783
2010-12-01,-0.03763234665664261
2011-01-01,-0.012753627842730264
2011-02-01,-0.024292121046000426
2011-03-01,-0.062321896255028486
2011-04-01,0.07723924399004933
2011-05-01,-0.10803099028612462
2011-06-01,0.0659949146736547
2011-07-01,-0.029638304732039544
2011-08-01,-0.12094109627590532
2011-09-01,-0.14990106084801702
2011-10-01,-0.03507046103384659
2011-11-01,0.04467876190509812
2011-12-01,0.007916949309924703
2012-01-01,-0.0015479272195435545
2012-02-01,-0.013480761049864176
2012-03-01,0.1578713146381414
2012-04-01,0.13867218904456813
2012-05-01,-0.19167651595811885
2012-06-01,0.005247499262187594
2012-07-01,0.026756804399894474
2012-08-01,-0.12778279090521882
2012-09-01,0.17443906126238073
2012-10-01,-0.0709623358422018
2012-11-01,-0.01793372985510866
2012-12-01,-0.03331115544994334
2013-01-01,0.11167821303623837
2013-02-01,0.16030724222227932
2013-03-01,0.039918329037006206
2013-04-01,-0.07507020492455818
2013-05-01,0.24130320092054602
2013-06-01,-0.18140775905781703
2013-07-01,-0.15971632735344188
2013-08-01,0.12766151897742906
2013-09-01,0.10627641017941403
2013-10-01,0.13856108015048063
2013-11-01,0.17950282840294318
2013-12-01,-0.1095947062799999
2014-01-01,0.009466440822377908
2014-02-01,0.04988174356963415
2014-03-01,0.08249905061691809
2014-04-01,0.010444977224511653
2014-05-01,0.17223582980569274
2014-06-01,0.13102466403282453
2014-07-01,-0.012102003953395224
2014-08-01,-0.05222178766365737
2014-09-01,0.12108075236546734
2014-10-01,0.16988190577113982
2014-11-01,0.059993213189113215
2014-12-01,-0.11556988173648342
2015-01-01,-0.009604444455956318
2015-02-01,-0.037474398976362844
2015-03-01,0.1697923639672183
2015-04-01,0.1325835661176611
2015-05-01,-0.026902859746125052
2015-06-01,-0.03623896455787934
2015-07-01,0.05305679214476555
2015-08-01,-0.035705248509093845
2015-09-01,-0.03969208768641341
2015-10-01,0.06169702213676698
2015-11-01,0.17573795306704176
2015-12-01,0.06874019014773869
2016-01-01,-0.04951160657858433
2016-02-01,-0.06446843617958364
2016-03-01,0.23735984603235893
2016-04-01,0.06072070537471608
2016-05-01,-0.12225436013858837
2016-06-01,0.010227632439245848
2016-07-01,0.25668997240434743
2016-08-01,0.19023725469300534
2016-09-01,0.07898528268700988
2016-10-01,0.04547754502262302
2016-11-01,-0.05811723431258975
2016-12-01,-0.04709786011579431
2017-01-01,0.07676686812030309
2017-02-01,-0.0065713419507549276
2017-03-01,0.07442597680009944
2017-04-01,0.030098830704467172
2017-05-01,0.0869607572741189
2017-06-01,-0.057295461445331375
2017-07-01,-0.019274277136641094
2017-08-01,0.06214268769788944
2017-09-01,0.016394166134900967
2017-10-01,0.0003367778900063012
2017-11-01,0.08838997101999824
2017-12-01,-0.058213489052806766
2018-01-01,0.1048284351261537
2018-02-01,0.008534816925408029
2018-03-01,0.03222332350850832
2018-04-01,-0.05064564313133679
2018-05-01,-0.012707478241917536
2018-06-01,-0.0018955435026256628
2018-07-01,0.05287816062119921
2018-08-01,0.026436359404024223
2018-09-01,0.05399758459255133
2018-10-01,0.05000512190633999
2018-11-01,-0.11449619948182344
