indice_tiempo,ind_burs_bs_raices_var_pct
2004-12-01,0.10946923357101279
2005-01-01,0.04220236222495566
2005-02-01,0.14901950920706453
2005-03-01,0.10063470137802621
2005-04-01,-0.3052787638998301
2005-05-01,0.23223591116352038
2005-06-01,0.08460271739724434
2005-07-01,-0.5058164172080908
2005-08-01,0.6689744227194176
2005-09-01,0.12311337549437562
2005-10-01,-0.12484763507061414
2005-11-01,0.09660362097337627
2005-12-01,0.020844630163215028
2006-01-01,-0.0006084592871183903
2006-02-01,0.04316564238028375
2006-03-01,0.03784074176806507
2006-04-01,-0.15973966082951407
2006-05-01,0.331595594124489
2006-06-01,-0.07614512488668701
2006-07-01,-0.09755538333464009
2006-08-01,0.07061405980180102
2006-09-01,0.04037341303526998
2006-10-01,0.095676851065285
2006-11-01,0.005525340386596689
2006-12-01,0.10743209348712535
2007-01-01,0.08834142643174081
2007-02-01,0.03384822486753358
2007-03-01,-0.006701337275420216
2007-04-01,-0.015940084932138943
2007-05-01,0.19089042607906315
2007-06-01,-0.014035782236857974
2007-07-01,0.00228995819689648
2007-08-01,-0.08684411682697624
2007-09-01,-0.124922906898149
2007-10-01,0.03742927548739594
2007-11-01,-0.011040482684029795
2007-12-01,-0.0074487279844509535
2008-01-01,-0.08092429995218209
2008-02-01,-0.03120293045693634
2008-03-01,0.06142735803728483
2008-04-01,-0.011970829107082914
2008-05-01,-0.22381835978513642
2008-06-01,-0.18437098407309893
2008-07-01,-0.22700686220226318
2008-08-01,-0.0570142382074611
2008-09-01,0.1225942420958932
2008-10-01,0.0004669171184301657
2008-11-01,-0.27583936528151376
2008-12-01,-0.1794483553360423
2009-01-01,-0.0037945200952094194
2009-02-01,0.0044366578313033145
2009-03-01,0.0036670935946181427
2009-04-01,0.06797766289921614
2009-05-01,0.047286289045615826
2009-06-01,0.3288732148407305
2009-07-01,0.14534624918412975
2009-08-01,-0.03318092235043513
2009-09-01,0.18586081130222798
2009-10-01,0.18530192046053662
2009-11-01,0.045739388070014764
2009-12-01,-0.06360017954619557
2010-01-01,0.1846142984017063
2010-02-01,0.08931931025476492
2010-03-01,0.056326931447134854
2010-04-01,0.08225485287405387
2010-05-01,-0.07473558934757463
2010-06-01,0.30735340323345817
2010-07-01,0.4431347160293597
2010-08-01,-0.3570977584914231
2010-09-01,0.4558451359715112
2010-10-01,0.07931786472066005
2010-11-01,-0.07393305480083212
2010-12-01,0.04170829551497435
2011-01-01,0.10753309487636309
2011-02-01,-0.10999309275731162
2011-03-01,0.014433651264912584
2011-04-01,-0.41455483294454587
2011-05-01,0.392560113577638
2011-06-01,-0.024856714174563033
2011-07-01,0.2491613812222866
2011-08-01,-0.16236727796882244
2011-09-01,-0.13143822470628386
2011-10-01,-0.034110049334542314
2011-11-01,-0.1750537114796843
2011-12-01,-0.060619624002229644
2012-01-01,0.291059186199093
2012-02-01,0.001776517051647053
2012-03-01,-0.4577109620803368
2012-04-01,-0.3646458366530895
2012-05-01,-0.04001023917673674
2012-06-01,0.6493743485600079
2012-07-01,0.5917708966364283
2012-08-01,-0.04863744842968132
2012-09-01,-0.014346008351042272
2012-10-01,-0.002409071943236918
2012-11-01,-0.1287809123112319
2012-12-01,0.13313677057879625
2013-01-01,0.21955060891711953
2013-02-01,0.19911957915522294
2013-03-01,0.11372934471516816
2013-04-01,0.06755965380521456
2013-05-01,0.0194654218952941
2013-06-01,-0.08246091026426017
2013-07-01,-0.14582124976362076
2013-08-01,0.11037822845741396
2013-09-01,0.09724591315448472
2013-10-01,0.1833985614988467
2013-11-01,0.17945381378148362
2013-12-01,-0.07604049390402279
2014-01-01,0.02370996938039105
2014-02-01,0.02115565763794036
2014-03-01,-0.06246832669743996
2014-04-01,0.08241903325614675
2014-05-01,0.0666359037716453
2014-06-01,0.19454375668597912
2014-07-01,0.15394678841000653
2014-08-01,0.035211080847249
2014-09-01,-0.06194715689390651
2014-10-01,0.048772684252113896
2014-11-01,0.03427413033544968
2014-12-01,0.01667174208504396
2015-01-01,-0.03776079558493162
2015-02-01,0.07020671933520961
2015-03-01,0.19097425769892817
2015-04-01,0.0654456242478616
2015-05-01,-0.02270349191273724
2015-06-01,-7.559854906913355e-05
2015-07-01,0.06731842483818329
2015-08-01,-0.13586980724614994
2015-09-01,-0.006594834621745593
2015-10-01,-0.07199015522603769
2015-11-01,0.009543987895616501
2015-12-01,0.09215495543275698
2016-01-01,-0.005466982029639356
2016-02-01,-0.023327138432339467
2016-03-01,0.10208058647872642
2016-04-01,0.1337882293770638
2016-05-01,-0.025520769787702235
2016-06-01,-0.02502243435554019
2016-07-01,0.08189744603904026
2016-08-01,0.1384092494223912
2016-09-01,0.03188200601122704
2016-10-01,0.03740046175580036
2016-11-01,-0.040134780798755765
2016-12-01,0.012425783338201102
2017-01-01,-0.01965020365793313
2017-02-01,0.032210977763136306
2017-03-01,0.05921689075570469
2017-04-01,0.1291210773834941
2017-05-01,0.1908613035042508
2017-06-01,0.11739088750974513
2017-07-01,0.12869940419406323
2017-08-01,0.015302378802919847
2017-09-01,0.1651051985917129
2017-10-01,-0.14837466284684442
2017-11-01,-0.040533810339380194
2017-12-01,0.021551595814482516
2018-01-01,0.16816653598496556
2018-02-01,-0.07024053741026226
2018-03-01,-0.07476296240269442
2018-04-01,-0.025347890440537313
2018-05-01,-0.09603919962614016
2018-06-01,-0.029287467628541397
2018-07-01,-0.05293918444584356
2018-08-01,-0.05924802859935985
2018-09-01,0.03635515573384085
2018-10-01,0.11896008523338475
2018-11-01,-0.2560104751676059
